Case value: 5
                     ruby: | 0 failed |     0.007s overall | score:     1.000 |
                     objc: | 0 failed |     0.009s overall | score:     1.356 |
                     perl: | 0 failed |     0.009s overall | score:     1.390 |
                      lua: | 0 failed |     0.022s overall | score:     3.383 |
                nu w/objc: | 0 failed |     0.064s overall | score:     9.800 |
            macruby w/aot: | 0 failed |     0.082s overall | score:    12.674 |
          f-script w/objc: | 0 failed |     0.116s overall | score:    17.833 |
                       nu: | 0 failed |     0.122s overall | score:    18.810 |
                  macruby: | 0 failed |     0.134s overall | score:    20.541 |
                 f-script: | 0 failed |     0.139s overall | score:    21.433 |
            sbcl compiled: | 0 failed |     0.144s overall | score:    22.152 |
                   falcon: | 0 failed |     0.147s overall | score:    22.587 |
                 js on v8: | 0 failed |     0.147s overall | score:    22.605 |
                   coffee: | 0 failed |     0.275s overall | score:    42.268 |
                   python: | 0 failed |     0.276s overall | score:    42.481 |
           macruby w/objc: | 0 failed |     0.533s overall | score:    81.943 |
                    jruby: | 0 failed |     1.195s overall | score:   183.746 |
                     sbcl: | 0 failed |     2.735s overall | score:   420.637 |

Case value: 10
                      lua: | 0 failed |     0.004s overall | score:     1.000 |
                     ruby: | 0 failed |     0.006s overall | score:     1.370 |
                     objc: | 0 failed |     0.009s overall | score:     2.082 |
                     perl: | 0 failed |     0.009s overall | score:     2.168 |
                   falcon: | 0 failed |     0.013s overall | score:     3.175 |
                   python: | 0 failed |     0.031s overall | score:     7.650 |
                 js on v8: | 0 failed |     0.053s overall | score:    12.985 |
                       nu: | 0 failed |     0.063s overall | score:    15.402 |
                nu w/objc: | 0 failed |     0.064s overall | score:    15.538 |
            macruby w/aot: | 0 failed |     0.082s overall | score:    19.835 |
            sbcl compiled: | 0 failed |     0.090s overall | score:    21.916 |
          f-script w/objc: | 0 failed |     0.097s overall | score:    23.574 |
                 f-script: | 0 failed |     0.115s overall | score:    28.060 |
                     sbcl: | 0 failed |     0.117s overall | score:    28.502 |
                  macruby: | 0 failed |     0.125s overall | score:    30.357 |
                   coffee: | 0 failed |     0.160s overall | score:    38.912 |
           macruby w/objc: | 0 failed |     0.219s overall | score:    53.206 |
                    jruby: | 0 failed |     0.703s overall | score:   170.890 |

Case value: 15
                      lua: | 0 failed |     0.004s overall | score:     1.000 |
                     ruby: | 0 failed |     0.007s overall | score:     1.702 |
                     objc: | 0 failed |     0.009s overall | score:     2.087 |
                     perl: | 0 failed |     0.011s overall | score:     2.656 |
                   falcon: | 0 failed |     0.014s overall | score:     3.310 |
                   python: | 0 failed |     0.032s overall | score:     7.737 |
                 js on v8: | 0 failed |     0.054s overall | score:    12.874 |
                nu w/objc: | 0 failed |     0.065s overall | score:    15.735 |
            macruby w/aot: | 0 failed |     0.082s overall | score:    19.820 |
            sbcl compiled: | 0 failed |     0.090s overall | score:    21.743 |
                       nu: | 0 failed |     0.090s overall | score:    21.748 |
          f-script w/objc: | 0 failed |     0.095s overall | score:    22.805 |
                     sbcl: | 0 failed |     0.117s overall | score:    28.131 |
                  macruby: | 0 failed |     0.125s overall | score:    29.987 |
                   coffee: | 0 failed |     0.159s overall | score:    38.296 |
           macruby w/objc: | 0 failed |     0.217s overall | score:    52.272 |
                 f-script: | 0 failed |     0.299s overall | score:    71.919 |
                    jruby: | 0 failed |     0.701s overall | score:   168.601 |

Case value: 20
                      lua: | 0 failed |     0.008s overall | score:     1.000 |
                     objc: | 0 failed |     0.009s overall | score:     1.165 |
                     ruby: | 0 failed |     0.023s overall | score:     3.003 |
                   falcon: | 0 failed |     0.027s overall | score:     3.545 |
                     perl: | 0 failed |     0.033s overall | score:     4.274 |
                   python: | 0 failed |     0.047s overall | score:     6.164 |
                 js on v8: | 0 failed |     0.054s overall | score:     7.036 |
                nu w/objc: | 0 failed |     0.064s overall | score:     8.450 |
            macruby w/aot: | 0 failed |     0.082s overall | score:    10.828 |
            sbcl compiled: | 0 failed |     0.091s overall | score:    11.984 |
          f-script w/objc: | 0 failed |     0.093s overall | score:    12.244 |
                     sbcl: | 0 failed |     0.116s overall | score:    15.272 |
                  macruby: | 0 failed |     0.128s overall | score:    16.763 |
                   coffee: | 0 failed |     0.160s overall | score:    21.015 |
           macruby w/objc: | 0 failed |     0.219s overall | score:    28.771 |
                       nu: | 0 failed |     0.404s overall | score:    53.040 |
                    jruby: | 0 failed |     0.853s overall | score:   112.039 |
                 f-script: | 0 failed |     2.275s overall | score:   298.831 |

